,fips
1301,31015.0
1302,31017.0
1303,31021.0
1304,31023.0
1305,31025.0
1306,31027.0
1307,31029.0
1308,31031.0
1309,31035.0
1310,31039.0
1311,31041.0
1312,31045.0
1313,31047.0
1314,31049.0
1315,31051.0
1316,31055.0
1317,31057.0
1318,31059.0
1319,31061.0
1320,31065.0
1321,31067.0
1322,31069.0
1323,31071.0
1324,31073.0
1325,31075.0
1326,31077.0
1327,31081.0
1328,31085.0
1329,31087.0
1330,31089.0
1331,31091.0
1332,31093.0
1333,31095.0
1334,31097.0
1335,31099.0
1336,31105.0
1337,31107.0
1338,31111.0
1339,31115.0
1340,31117.0
1341,31119.0
1342,31121.0
1343,31123.0
1344,31125.0
1345,31129.0
1346,31131.0
1347,31133.0
1348,31135.0
1349,31139.0
1350,31141.0
1351,31143.0
1352,31145.0
1353,31147.0
1354,31149.0
1355,31151.0
1356,31153.0
1357,31155.0
1358,31157.0
1359,31159.0
1360,31161.0
1361,31163.0
1362,31167.0
1363,31169.0
1364,31173.0
1365,31179.0
1366,31181.0
1367,31183.0
1368,31185.0
1369,32001.0
1370,32003.0
1371,32005.0
1372,32007.0
1373,32009.0
1374,32013.0
1375,32015.0
1376,32017.0
1377,32019.0
1378,32021.0
1379,32023.0
1380,32029.0
1381,32031.0
1382,32033.0
1383,33001.0
1384,33003.0
1385,33005.0
1386,33007.0
1387,33011.0
1388,33013.0
1389,33017.0
1390,33019.0
1391,34001.0
1392,34003.0
1393,34009.0
1394,34011.0
1395,34013.0
1396,34015.0
1397,34017.0
1398,34019.0
1399,34021.0
1400,34023.0
1401,34025.0
1402,34027.0
1403,34029.0
1404,34031.0
1405,34033.0
1406,34035.0
1407,34039.0
1408,34041.0
1409,35001.0
1410,35003.0
1411,35005.0
1412,35007.0
1413,35009.0
1414,35013.0
1415,35015.0
1416,35017.0
1417,35019.0
1418,35021.0
1419,35023.0
1420,35027.0
1421,35028.0
1422,35029.0
1423,35031.0
1424,35041.0
1425,35045.0
1426,35051.0
1427,35053.0
1428,35059.0
1429,36001.0
1430,36003.0
1431,36007.0
1432,36009.0
1433,36011.0
1434,36013.0
1435,36017.0
1436,36019.0
1437,36021.0
1438,36023.0
1439,36025.0
1440,36027.0
1441,36029.0
1442,36031.0
1443,36033.0
1444,36037.0
1445,36039.0
1446,36041.0
1447,36043.0
1448,36047.0
1449,36049.0
1450,36051.0
1451,36053.0
1452,36055.0
1453,36057.0
1454,36059.0
1455,36061.0
1456,36063.0
1457,36065.0
1458,36067.0
1459,36069.0
1460,36073.0
1461,36077.0
1462,36079.0
1463,36081.0
1464,36083.0
1465,36085.0
1466,36087.0
1467,36089.0
1468,36091.0
1469,36093.0
1470,36095.0
1471,36097.0
1472,36099.0
1473,36101.0
1474,36103.0
1475,36107.0
1476,36109.0
1477,36111.0
1478,36113.0
1479,36115.0
1480,36117.0
1481,36119.0
1482,36121.0
1483,37001.0
1484,37003.0
1485,37005.0
1486,37007.0
1487,37009.0
1488,37011.0
1489,37015.0
1490,37017.0
1491,37019.0
1492,37021.0
1493,37023.0
1494,37025.0
1495,37027.0
1496,37031.0
1497,37035.0
1498,37039.0
1499,37041.0
1500,37043.0
1501,37047.0
1502,37053.0
1503,37055.0
1504,37059.0
1505,37061.0
1506,37063.0
1507,37065.0
1508,37071.0
1509,37073.0
1510,37077.0
1511,37079.0
1512,37081.0
1513,37083.0
1514,37085.0
1515,37087.0
1516,37089.0
1517,37091.0
1518,37093.0
1519,37095.0
1520,37097.0
1521,37099.0
1522,37101.0
1523,37103.0
1524,37107.0
1525,37109.0
1526,37113.0
1527,37115.0
1528,37117.0
1529,37121.0
1530,37123.0
1531,37125.0
1532,37127.0
1533,37129.0
1534,37131.0
1535,37133.0
1536,37135.0
1537,37137.0
1538,37139.0
1539,37141.0
1540,37143.0
1541,37145.0
1542,37147.0
1543,37151.0
1544,37157.0
1545,37161.0
1546,37163.0
1547,37165.0
1548,37167.0
1549,37169.0
1550,37171.0
1551,37173.0
1552,37175.0
1553,37177.0
1554,37179.0
1555,37181.0
1556,37183.0
1557,37187.0
1558,37189.0
1559,37191.0
1560,37197.0
1561,37199.0
1562,38001.0
1563,38003.0
1564,38005.0
1565,38007.0
1566,38015.0
1567,38017.0
1568,38019.0
1569,38021.0
1570,38025.0
1571,38027.0
1572,38029.0
1573,38033.0
1574,38035.0
1575,38037.0
1576,38039.0
1577,38041.0
1578,38043.0
1579,38045.0
1580,38049.0
1581,38051.0
1582,38053.0
1583,38055.0
1584,38061.0
1585,38063.0
1586,38065.0
1587,38067.0
1588,38069.0
1589,38071.0
1590,38073.0
1591,38083.0
1592,38085.0
1593,38089.0
1594,38091.0
1595,38093.0
1596,38095.0
1597,38097.0
1598,38101.0
1599,38103.0
1600,38105.0
1601,39001.0
1602,39003.0
1603,39005.0
1604,39009.0
1605,39011.0
1606,39013.0
1607,39015.0
1608,39019.0
1609,39021.0
1610,39023.0
1611,39029.0
1612,39031.0
1613,39033.0
1614,39035.0
1615,39037.0
1616,39039.0
1617,39041.0
1618,39043.0
1619,39045.0
